0 0 1 0 0 1
1 0 0.62142065 -1 0 0.62142065
1 2 0.20029985 1 0.62142065 0.8217205
1 3 0.11371771 2 0.8217205 0.93543821
1 4 0.06456179 3 0.93543821 1
2 0 0.32000249 -2 0 0.32000249
2 2 0.32000249 0 0.32000249 0.64000498
2 3 0.16223324 1 0.64000498 0.80223822
2 4 0.11551359 2 0.80223822 0.91775181
2 5 0.0822481900000001 3 0.91775181 1
3 0 0.19696418 -3 0 0.19696418
3 2 0.19696417 -1 0.19696418 0.39392835
3 3 0.19696418 0 0.39392835 0.59089253
3 4 0.15183016 1 0.59089253 0.74272269
3 5 0.13580539 2 0.74272269 0.87852808
3 6 0.12147192 3 0.87852808 1
4 2 0.216777 -2 0 0.216777
4 3 0.21677699 -1 0.216777 0.43355399
4 4 0.216777 0 0.43355399 0.65033099
4 5 0.1419216 1 0.65033099 0.79225259
4 6 0.11483285 2 0.79225259 0.90708544
4 7 0.09291456 3 0.90708544 1
5 2 0.14285714 -3 0 0.14285714
5 3 0.14285715 -2 0.14285714 0.28571429
5 4 0.14285714 -1 0.28571429 0.42857143
5 5 0.14285714 0 0.42857143 0.57142857
5 6 0.14285714 1 0.57142857 0.71428571
5 7 0.14285715 2 0.71428571 0.85714286
5 8 0.14285714 3 0.85714286 1
